FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,Over2.5,BTTS,HomeForm_5,HomeGF_5,HomeGA_5,Home_xG_5,Home_xGA_5,AwayForm_5,AwayGF_5,AwayGA_5,Away_xG_5,Away_xGA_5,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTGD,ATGD,DiffPts,DiffFormPts,DiffFormGoals,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5
1,1,0,1,24,7,4,3,7,8,4,2,2,4,1,0,2223,2,0,0,1,1.0,2.0,2.0,,,0.0,0.0,2.0,,,0,0,0,0,0.0,0.0,3.636363636363636,0.0909090909090909,0.6013986013986015,1,1,0,0,0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,-2.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0
0,0,0,0,23,6,6,2,13,12,7,2,0,6,0,0,2223,0,0,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,2,0,1,13,8,1,3,12,17,9,2,2,5,1,1,2223,2,-2,0,0,1.0,2.0,2.0,,,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,1,0,0,1,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0
1,1,0,0,18,6,2,3,20,10,12,2,3,2,1,1,2223,2,0,0,1,0.0,1.0,2.0,,,0.0,0.0,3.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,1,1,0,0,0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,2,0,1,13,8,7,3,22,17,5,2,7,8,0,0,2223,3,-1,1,1,1.0,0.0,0.0,,,3.0,3.0,0.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,1,0,0,0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,-2.0,-2.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0
0,3,0,2,6,14,1,6,12,10,3,4,2,1,0,0,2223,3,-3,1,0,1.5,1.0,2.0,,,3.0,3.0,1.0,,,0,0,0,0,0.0,0.0,4.112903225806452,0.1129032258064516,0.684863523573201,2,1,0,0,1,2.0,6.0,4.0,2.0,3.0,6.0,3.0,-2.0,4.0,-3.0,-3.0,0.0,3.0,6.0,0,0,0,0,0,0,0,0
2,0,1,0,16,9,3,2,11,13,2,2,2,5,0,1,2223,2,2,0,0,3.0,2.0,1.0,,,0.0,0.0,1.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,0,1,0,1,0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,-1.0,3.0,3.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0
1,4,1,2,15,16,2,7,12,8,2,2,2,2,0,0,2223,5,-3,1,1,1.0,2.0,2.0,,,3.0,2.0,1.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,1,1,0,0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,-2.0,-2.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0
1,2,0,0,6,9,1,3,11,15,2,5,2,3,0,0,2223,3,-1,1,1,0.5,2.0,3.0,,,0.5,1.5,3.0,,,0,0,0,0,0.0,0.0,3.6818181818181817,0.1818181818181818,0.6503496503496502,2,1,0,0,0,4.0,3.0,6.0,6.0,1.0,1.0,3.0,-2.0,-3.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0
1,0,0,0,11,20,4,3,10,8,8,6,2,2,0,0,2223,1,1,0,0,2.0,3.0,1.5,,,0.5,0.5,1.0,,,0,0,0,0,0.0,0.0,4.116883116883117,0.0779220779220779,0.6693306693306694,0,0,0,1,0,6.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,-1.0,3.0,3.0,0.0,4.0,1.0,0,0,0,0,0,0,0,0
1,1,0,0,19,14,8,5,6,9,6,2,3,2,0,0,2223,2,0,0,1,0.0,0.5,1.5,,,1.5,0.5,1.0,,,0,0,0,0,0.0,0.0,3.5384615384615383,0.1538461538461538,0.6153846153846154,1,1,0,0,0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,-2.0,-1.0,-3.0,-3.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0
3,1,1,1,17,13,9,5,16,14,4,2,2,1,0,0,2223,4,2,1,1,0.5,0.5,1.5,,,1.5,1.0,1.5,,,0,0,0,0,0.0,0.0,3.82089552238806,0.0895522388059701,0.6291618828932262,0,1,1,0,0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,-2.0,-1.0,-2.0,-2.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0
3,2,2,1,18,13,9,5,13,7,6,3,3,2,0,0,2223,5,1,1,1,1.0,1.0,1.0,,,2.0,3.0,1.0,,,0,0,0,0,0.0,0.0,4.166666666666667,0.074074074074074,0.6752136752136753,0,1,1,0,0,2.0,6.0,2.0,2.0,2.0,4.0,3.0,0.0,4.0,-2.0,-2.0,0.0,2.0,4.0,0,0,0,0,0,0,0,0
1,4,1,1,10,15,5,7,16,9,3,6,2,1,0,0,2223,5,-3,1,1,3.0,1.0,0.0,,,1.0,0.0,0.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,2,1,1,0,0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0
1,0,1,0,12,10,2,0,11,15,6,3,5,2,0,0,2223,1,1,0,0,1.0,0.0,0.0,,,3.0,1.0,0.0,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,-2.0,-2.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0
